text,label
"i've been great. what about you?", 0
"i've been good. i'm in school right now.", 0
"tomorrow it will rain", 0
"How are you?", 0
"Hello", 0
"Thank you", 0
"Goodbye" , 0
"How can you help me?", 0
"what can you do?", 0
"can you help me?", 0
"how old are you?", 0
"how old is she?", 0
"tell me a story", 0
"clean the room", 0
"your age?",  0
"what is your hobby?", 0
"what are you interested in?", 0
"what are you doing on your leasure time", 0
"what are your favorite books?", 0
"how do you overcome your bad days?", 0
"what do you suggest to dress today?", 0
"how do you solove this problem generally?", 0
"let's build a trip to (.*)", 2
"i want to book a taxi", 2
"i would like to order a taxi", 2
"let's take a taxi", 2
"call me a taxi", 2
"how can I order a taxi?", 2
"order for me a taxi" , 2
"how should i order a taxi?", 2
"can you build a trip to (.*)", 2
"let's build a journey", 2
"can you build a journey", 2
"I want to go to (.*) from (.*)", 2
"I want to go to (.*)", 2
"I want to go to centre", 2
"I want to go to office", 2
"which transport should i take to arrive to (.*)", 2
"what should i take to arrive to (.*)", 2
"which transport would you suggest to take to arrive to (.*)", 2
"what would you suggest to take to arrive to (.*)", 2
"I want to go home", 2
"I would like to go to (.*) from (.*)", 2
"I would like to go home from current location", 2
"how can I go from (.*) to (.*)?", 2
"how can we go from (.*) to (.*)?", 2
"how can they go from (.*) to (.*)?", 2
"what transport would you suggest me to take?", 2
"what transport would you suggest us to take?", 2
"what transport would you suggest them to take?", 2
"suggest me a route to arrive to (.*)", 2
"suggest us a route to arrive to (.*)", 2
"suggest them a route to arrive to (.*)", 2
"suggest me a route to go to (.*)", 2
"what transport should I take to arive to (.*)?", 2
"what is the best way to reach (.*)?", 2
"how to reach to (.*)?", 2
"can you take me to an excursion", 2
"what is the shortes way to reach to (.*)?", 2
"let us go to vooyage", 2
"it is a travel time!", 2
"let's travel to", 2
"could you please tell me how to go to (.*)?", 2
"could you please tell us how to go to (.*)?", 2
"could you please tell them how to go to (.*)?", 2
"could you please show me how to go to (.*)?", 2
"could you please explain me how to go to (.*)?", 2
"create a trip to (.*)", 2
"create a trip to (.*) from (.*)", 2
"what's wrong with that?", 0
"he drew two butterflies and a flower on a napkin in a restaurant.", 0
"he had dirty fingernails.", 0
"here he comes now.", 0
"doesn't crime cost more than police?", 0
"and they're clean.", 0
"he said he wasn't using drugs.", 0
"and then you chase it.", 0
"did you hear what happened at the baseball game?", 0
"i'll say. my girlfriend has a nose like a drug dog.", 0
"i told her i had gotten the last two on the shelf, but i offered her one of mine.", 0
"she was standing behind me in a really slow line at the checkout counter.", 0
"yes, but it isn't a fast-food restaurant, is it?", 0
"i like to run around the bases.", 0
"they're behind the outfield.", 0
"he helped make the yankees the best team ever.", 0
"i told her i wouldn't trade her for any other woman in the world.", 0
"they will drop the new steak on the floor, step on it, and then spit on it.", 0
"you're forgetting about the bathroom.", 0
"then stop eating the bread!", 0
"great. which one?", 0
"that's disgusting.", 0
"what happened?", 0
"yes, in fact, i did.", 0
"you're crazy.", 0
"yes, he was smoking a cigarette.", 0
"but a lot of old people are still interested in dating.", 0
"what do you want the waiter to do?", 0
"he shouldn't scuba dive until he retires.", 0
"i can't believe how long this line is.", 0
"it certainly is.", 0
"is that it?", 0
"was he smoking?", 0
"like what?", 0
"i want to be a baseball player when i grow up.", 0
"no human could possibly play golf that well.", 0
"i feel safe here.", 0
"is this a clean restaurant?", 0
"yes, it is.", 0
"what did she say?", 0
"yeah. it's a lot of fun to slide.", 0
"oops, i guess i was wrong. that isn't our waiter.", 0
"that one. a group of eight just sat down at it.", 0
"maybe he'll send us our waiter immediately.", 0
"where are the seats?", 0
"really? who with?", 0
"did you have a date friday night?", 0
"no. it costs too much money.", 0
"the home run hitter on drugs?", 0
"i guess you can't go back to that restaurant.", 0
"yes. the lake is only 10 miles away.", 0
"but we just got here.", 0
"where did you go?", 0
"well, there is one good table.", 0
"because he likes to scuba dive.", 0
"where do you get these crazy ideas?", 0
"yes, but who is the greatest?", 0
"i'll bet he was drinking, too.", 0
"they should find a nice hobby.", 0
"this is a popular restaurant, isn't it?", 0
"me too.", 0
"we have to practice every day.", 0
"sometimes.", 0
"i put lemon and butter in it.", 0
"it is delicious, especially with butter.", 0
"so do i.", 0
"some people have good noses.", 0
"finally, you put the ball into a hole in the ground.", 0
"baseball is fun.", 0
"What’s up?", 0
"I want to create a new event", 3
"add a new event", 3
"add an event", 3
"I want to create a new event for (.*)", 3
"let's create a new event", 3
"create a new event", 3
"create a new event for tomorrow", 3
"create an event", 3
"how to create an event?", 3
"cretion of the event", 3
"let's initialize an event", 3
"let's initialize an event for tomorrow", 3
"let's initialize an event to go to (.*)", 3
"let's build an event", 3
"let's create an event for tomorrow to go to (.*)", 3
"tomorrow i want to go to (.*)", 3
"tomorrow at (.*) pm  i want to go to (.*)", 3
"tomorrow at (.*) am  i want to go to (.*)", 3
"tomorrow i want to go to (.*) from (.*)", 3
"in these days i want to go to (.*)", 3
"in these days i want to go to (.*) from (.*)", 3
"in these days we want to go to (.*)", 3
"on sunday i want to go to (.*)", 3
"on monday i want to go to (.*)", 3
"on tuesday i want to go to (.*)", 3
"on tuesday at (.*) pm i want to go to (.*)", 3
"on wednesday at (.*) am i want to go to (.*)", 3
"on wednesday i want to go to (.*)", 3
"on thursday i want to go to (.*)", 3
"on friday i want to go to (.*)", 3
"on saturday i want to go to (.*)", 3
"on saturday at (.*) pm i want to go to (.*)", 3
"on saturday at (.*) am i want to go to (.*)", 3
"next month i want to go to (.*)", 3
"next week i want to go to (.*)", 3
"next week i want to go from (.*) to (.*)", 3
"next week i want to go to (.*) from (.*) ", 3
"this month i want to go to (.*)", 3
"next month we want to go to (.*)", 3
"this month we want to go to (.*)", 3
"let's build a trip for tomorrow", 3
"in January i want to go to (.*)", 3 
"in February i want to go to (.*)", 3 
"in March i want to go to (.*)", 3 
"in April i want to go to (.*)", 3 
"in May i want to go to (.*)", 3 
"in June i want to go to (.*)", 3 
"in July i want to go to (.*)", 3  
"in August i want to go to (.*)", 3 
"in September i want to go to (.*)", 3 
"in October i want to go to (.*)", 3 
"in November i want to go to (.*)", 3 
"in December i want to go to (.*)", 3
"let's organize trip for the next week", 3
"let's organize trip for the next month", 3
"let's organize trip for the next month", 3
"let's organize trip for January", 3
"let's organize trip for October", 3
"let's organize trip for March", 3
"let's organize trip for December", 3
"let's organize trip for July", 3
"let's organize trip for April", 3
"i want to edit my events", 4
"i want to edit my event", 4
"i want to edit my last event", 4
"i want to edit the last event", 4
"how can I edit my events", 4
"let's edit my events", 4
"edit events", 4
"i want to modify my events", 4
"i want to modify my event", 4
"i want to modify my last event", 4
"i want to modify the last event", 4
"how can I modify my events", 4
"let's modify my events", 4
"modify events", 4
"i want to update my events", 4
"i want to update my event", 4
"i want to update my last event", 4
"i want to update the last event", 4
"how can I update my events", 4
"let's update my events", 4
"update events", 4
"i want to change my events", 4
"i want to change my event", 4
"i want to change my last event", 4
"i want to change the last event", 4
"how can I change my events", 4
"let's change my events", 4
"change events", 4
"i want to make some changes to my events" , 4
"i would like to make some changes to my events" , 4
"let's apply some changes to my events" , 4
"i want to edit my transport preferences", 5
"i want to edit the transport preferences", 5
"how can I edit my transport preferences", 5
"let's edit my transport preferences", 5
"edit transport preferences", 5
"i want to modify my transport preferences", 5
"how can I modify my transport preferences", 5
"let's modify my transport preferences", 5
"let's modify the transport preferences", 5
"modify transport preferences", 5
"i want to update my transport preferences", 5
"how can I update my transport preferences", 5
"let's update my transport preferences", 5
"update transport preferences", 5
"i want to change my transport preferences", 5
"how can I change my transport preferences", 5
"let's change my transport preferences", 5
"change transport preferences", 5
"change the transport preferences", 5
"i want to make some changes to my transport preferences" , 5
"i would like to make some changes to my transport preferences" , 5
"let's apply some changes to my transport preferences" , 5
